time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,MTS FG,MTS BG,RAM,EMC,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp thermal,power cur,power avg
2021-11-05 13:19:06.940341,"21 days, 0:24:10.300000",OFF,MODE_10W_DESKTOP,17,37,50,31,OFF,OFF,0,0,0,704480,704480,434,150,OFF,OFF,OFF,0.0,41.0,40.0,42.0,41.0,40.75,3995,3995
2021-11-05 13:19:06.945183,"21 days, 0:24:10.310000",OFF,MODE_10W_DESKTOP,17,37,50,31,OFF,OFF,0,0,0,704480,704480,434,150,OFF,OFF,OFF,0.0,41.0,40.0,42.0,41.0,40.75,3995,3995
2021-11-05 13:19:07.462369,"21 days, 0:24:10.830000",OFF,MODE_10W_DESKTOP,29,20,25,21,OFF,OFF,0,0,0,705120,705120,434,150,OFF,OFF,OFF,0.0,40.5,40.0,42.0,41.0,40.75,3261,3628
2021-11-05 13:19:07.984006,"21 days, 0:24:11.350000",OFF,MODE_10W_DESKTOP,12,13,13,13,OFF,OFF,0,0,0,705868,705868,434,150,OFF,OFF,OFF,0.0,40.5,40.0,42.0,41.0,40.75,2935,3397
2021-11-05 13:19:08.509302,"21 days, 0:24:11.870000",OFF,MODE_10W_DESKTOP,9,12,9,12,OFF,OFF,0,0,0,705328,705328,434,150,OFF,OFF,OFF,0.0,41.0,40.5,41.5,41.0,40.75,2527,3179
2021-11-05 13:19:09.047172,"21 days, 0:24:12.410000",OFF,MODE_10W_DESKTOP,25,20,19,14,OFF,OFF,0,0,0,705004,705004,434,150,OFF,OFF,OFF,0.0,41.0,40.0,41.5,41.0,40.75,2609,3065
2021-11-05 13:19:09.572406,"21 days, 0:24:12.940000",OFF,MODE_10W_DESKTOP,25,20,28,26,OFF,OFF,0,0,0,705860,705860,433,150,OFF,OFF,OFF,0.0,41.0,40.5,41.5,41.0,40.95,2935,3043
2021-11-05 13:19:10.090132,"21 days, 0:24:13.450000",OFF,MODE_10W_DESKTOP,15,15,19,12,OFF,OFF,0,0,0,702256,702256,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.0,41.0,40.95,2772,3004
2021-11-05 13:19:10.612730,"21 days, 0:24:13.980000",OFF,MODE_10W_DESKTOP,13,10,9,11,OFF,OFF,0,0,0,701696,701696,433,150,OFF,OFF,OFF,0.0,41.0,40.0,41.5,41.0,40.95,2486,2940
2021-11-05 13:19:11.142429,"21 days, 0:24:14.510000",OFF,MODE_10W_DESKTOP,20,19,17,16,OFF,OFF,0,0,0,701872,701872,433,150,OFF,OFF,OFF,0.0,41.0,40.5,41.5,41.0,40.95,2568,2898
2021-11-05 13:19:11.683178,"21 days, 0:24:15.050000",OFF,MODE_10W_DESKTOP,22,20,22,23,OFF,OFF,0,0,0,701768,701768,433,150,OFF,OFF,OFF,0.0,41.0,40.0,42.0,41.0,40.9,2853,2894
2021-11-05 13:19:12.214571,"21 days, 0:24:15.580000",OFF,MODE_10W_DESKTOP,20,16,14,7,OFF,OFF,0,0,0,702500,702500,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.0,41.0,40.9,2812,2886
2021-11-05 13:19:12.734587,"21 days, 0:24:16.100000",OFF,MODE_10W_DESKTOP,13,9,7,11,OFF,OFF,0,0,0,702240,702240,433,150,OFF,OFF,OFF,0.0,40.5,40.0,42.0,41.0,41.1,2527,2856
2021-11-05 13:19:13.283518,"21 days, 0:24:16.650000",OFF,MODE_10W_DESKTOP,13,13,13,21,OFF,OFF,0,0,0,702068,702068,433,150,OFF,OFF,OFF,0.0,41.0,40.0,41.5,41.0,41.1,2527,2831
2021-11-05 13:19:13.787936,"21 days, 0:24:17.150000",OFF,MODE_10W_DESKTOP,25,20,25,42,OFF,OFF,0,0,0,707076,707076,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.5,41.0,41.1,3261,2862
2021-11-05 13:19:14.302388,"21 days, 0:24:17.670000",OFF,MODE_10W_DESKTOP,31,30,68,25,OFF,OFF,0,1,1,720408,720408,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.5,41.5,41.1,4280,2956
2021-11-05 13:19:14.835366,"21 days, 0:24:18.200000",OFF,MODE_10W_DESKTOP,7,6,58,9,OFF,OFF,0,0,0,731100,731100,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.5,41.5,41.1,4036,3024
2021-11-05 13:19:15.332990,"21 days, 0:24:18.700000",OFF,MODE_10W_DESKTOP,54,54,98,53,OFF,OFF,0,2,2,761100,761100,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.5,41.5,41.55,4729,3124
2021-11-05 13:19:15.849129,"21 days, 0:24:19.210000",OFF,MODE_10W_DESKTOP,17,22,72,13,OFF,OFF,0,0,0,770680,770680,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.5,41.5,41.55,4484,3199
2021-11-05 13:19:16.363592,"21 days, 0:24:19.730000",OFF,MODE_10W_DESKTOP,25,12,70,6,OFF,OFF,0,0,0,781712,781712,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.5,41.5,41.4,4443,3265
2021-11-05 13:19:16.875979,"21 days, 0:24:20.240000",OFF,MODE_10W_DESKTOP,5,3,64,19,OFF,OFF,0,0,0,791296,791296,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.0,41.5,41.4,4158,3309
2021-11-05 13:19:17.393262,"21 days, 0:24:20.760000",OFF,MODE_10W_DESKTOP,16,19,56,11,OFF,OFF,0,0,0,797820,797820,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.0,41.5,41.25,4036,3344
2021-11-05 13:19:17.901635,"21 days, 0:24:21.270000",OFF,MODE_10W_DESKTOP,16,23,35,50,OFF,OFF,0,0,0,806988,806988,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.5,41.5,41.25,4239,3385
2021-11-05 13:19:18.422440,"21 days, 0:24:21.790000",OFF,MODE_10W_DESKTOP,10,16,74,7,OFF,OFF,0,0,0,811924,811924,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.5,41.5,41.4,4280,3424
2021-11-05 13:19:18.930346,"21 days, 0:24:22.290000",OFF,MODE_10W_DESKTOP,8,9,49,16,OFF,OFF,0,0,0,818124,818124,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.5,41.5,41.4,3995,3447
2021-11-05 13:19:19.444567,"21 days, 0:24:22.810000",OFF,MODE_10W_DESKTOP,21,19,29,56,OFF,OFF,0,0,0,827320,827320,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.5,41.5,41.25,4199,3477
2021-11-05 13:19:19.955399,"21 days, 0:24:23.320000",OFF,MODE_10W_DESKTOP,30,28,82,20,OFF,OFF,0,1,1,836308,836308,433,150,OFF,OFF,OFF,0.0,41.5,40.5,42.5,41.5,41.25,4606,3521
2021-11-05 13:19:20.472707,"21 days, 0:24:23.840000",OFF,MODE_10W_DESKTOP,10,9,98,1,OFF,OFF,0,0,0,849604,849604,433,150,OFF,OFF,OFF,0.0,41.5,40.5,42.5,41.5,41.25,4402,3553
2021-11-05 13:19:20.984999,"21 days, 0:24:24.350000",OFF,MODE_10W_DESKTOP,50,11,43,24,OFF,OFF,0,0,0,980624,980624,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.5,41.5,41.55,4362,3582
2021-11-05 13:19:21.543971,"21 days, 0:24:24.910000",OFF,MODE_10W_DESKTOP,72,25,15,26,OFF,OFF,0,0,0,1141156,1141156,433,150,OFF,OFF,OFF,0.0,41.0,40.5,42.5,41.5,41.55,4362,3609
2021-11-05 13:19:22.054921,"21 days, 0:24:25.420000",OFF,MODE_10W_DESKTOP,61,36,12,26,OFF,OFF,5,0,0,1339640,1339640,433,150,OFF,OFF,OFF,0.0,41.5,41.0,42.5,41.5,41.4,4362,3634
2021-11-05 13:19:22.571726,"21 days, 0:24:25.940000",OFF,MODE_10W_DESKTOP,94,9,11,13,OFF,OFF,0,0,0,1597640,1597640,433,150,OFF,OFF,OFF,0.0,41.5,40.5,43.0,41.5,41.4,4443,3660
2021-11-05 13:19:23.085930,"21 days, 0:24:26.450000",OFF,MODE_10W_DESKTOP,91,12,9,12,OFF,OFF,12,0,0,1760976,1760976,433,150,OFF,OFF,OFF,0.0,41.5,41.0,42.5,41.5,41.55,4321,3681
2021-11-05 13:19:23.596953,"21 days, 0:24:26.960000",OFF,MODE_10W_DESKTOP,29,87,20,23,OFF,OFF,7,0,0,1921860,1921860,433,150,OFF,OFF,OFF,0.0,41.5,40.5,43.0,41.5,41.55,4280,3699
2021-11-05 13:19:24.110392,"21 days, 0:24:27.480000",OFF,MODE_10W_DESKTOP,17,86,20,24,OFF,OFF,18,0,0,2090540,2090540,433,150,OFF,OFF,OFF,0.0,41.5,40.5,43.0,42.0,41.9,4484,3722
