time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,MTS FG,MTS BG,RAM,EMC,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp thermal,power cur,power avg
2021-11-05 13:21:27.183577,"21 days, 0:26:30.550000",OFF,MODE_10W_DESKTOP,14,11,9,15,OFF,OFF,0,0,0,680056,680056,457,150,OFF,OFF,OFF,0.0,44.5,44.0,45.5,44.5,44.6,2486,5555
2021-11-05 13:21:27.185524,"21 days, 0:26:30.550000",OFF,MODE_10W_DESKTOP,14,11,9,15,OFF,OFF,0,0,0,680056,680056,457,150,OFF,OFF,OFF,0.0,44.5,44.0,45.5,44.5,44.6,2486,5555
2021-11-05 13:21:27.736967,"21 days, 0:26:31.100000",OFF,MODE_10W_DESKTOP,28,19,53,14,OFF,OFF,0,0,0,696548,696548,457,150,OFF,OFF,OFF,0.0,44.5,43.5,46.0,44.5,44.4,4443,4443
2021-11-05 13:21:28.250300,"21 days, 0:26:31.610000",OFF,MODE_10W_DESKTOP,21,21,15,45,OFF,OFF,0,0,0,692896,692896,457,150,OFF,OFF,OFF,0.0,44.5,43.5,45.5,44.5,44.4,4199,4321
2021-11-05 13:21:28.764268,"21 days, 0:26:32.130000",OFF,MODE_10W_DESKTOP,23,21,37,41,OFF,OFF,0,1,1,703060,703060,457,150,OFF,OFF,OFF,0.0,44.0,43.5,46.0,44.5,44.4,4199,4280
2021-11-05 13:21:29.274258,"21 days, 0:26:32.640000",OFF,MODE_10W_DESKTOP,9,5,12,60,OFF,OFF,0,0,0,711348,711348,457,150,OFF,OFF,OFF,0.0,44.5,43.5,45.5,44.5,44.4,4036,4219
2021-11-05 13:21:29.815513,"21 days, 0:26:33.180000",OFF,MODE_10W_DESKTOP,27,26,17,59,OFF,OFF,0,0,0,723132,723132,457,150,OFF,OFF,OFF,0.0,44.5,43.5,46.0,44.5,44.55,4402,4255
2021-11-05 13:21:30.314739,"21 days, 0:26:33.680000",OFF,MODE_10W_DESKTOP,54,61,58,92,OFF,OFF,0,2,2,753360,753360,457,150,OFF,OFF,OFF,0.0,44.5,43.5,46.0,45.0,44.55,4940,4369
2021-11-05 13:21:30.834568,"21 days, 0:26:34.200000",OFF,MODE_10W_DESKTOP,18,8,40,27,OFF,OFF,0,0,0,761200,761200,457,150,OFF,OFF,OFF,0.0,44.5,44.0,46.0,44.5,44.9,4362,4368
2021-11-05 13:21:31.343758,"21 days, 0:26:34.710000",OFF,MODE_10W_DESKTOP,14,22,8,53,OFF,OFF,0,0,0,763884,763884,457,150,OFF,OFF,OFF,0.0,44.5,43.5,46.0,44.5,44.9,4158,4342
2021-11-05 13:21:31.858860,"21 days, 0:26:35.220000",OFF,MODE_10W_DESKTOP,19,16,17,67,OFF,OFF,0,0,0,771960,771960,457,150,OFF,OFF,OFF,0.0,44.5,43.5,46.0,44.5,44.95,4199,4326
2021-11-05 13:21:32.372150,"21 days, 0:26:35.740000",OFF,MODE_10W_DESKTOP,17,23,16,70,OFF,OFF,0,0,0,780728,780728,457,150,OFF,OFF,OFF,0.0,44.5,44.0,46.0,44.5,44.95,4402,4334
2021-11-05 13:21:32.889316,"21 days, 0:26:36.250000",OFF,MODE_10W_DESKTOP,15,2,17,48,OFF,OFF,0,0,0,788524,788524,457,150,OFF,OFF,OFF,0.0,44.5,43.5,46.0,44.5,44.4,4117,4314
2021-11-05 13:21:33.398710,"21 days, 0:26:36.760000",OFF,MODE_10W_DESKTOP,16,7,10,80,OFF,OFF,0,0,0,794508,794508,457,150,OFF,OFF,OFF,0.0,44.5,44.0,46.0,44.5,44.4,4158,4301
2021-11-05 13:21:33.912002,"21 days, 0:26:37.280000",OFF,MODE_10W_DESKTOP,23,43,18,58,OFF,OFF,0,0,0,800400,800400,457,150,OFF,OFF,OFF,0.0,44.5,44.0,46.5,45.0,44.55,4525,4318
2021-11-05 13:21:34.425232,"21 days, 0:26:37.790000",OFF,MODE_10W_DESKTOP,19,21,8,98,OFF,OFF,0,0,0,814740,814740,457,150,OFF,OFF,OFF,0.0,44.5,44.0,46.0,44.5,44.55,4647,4341
2021-11-05 13:21:34.939567,"21 days, 0:26:38.300000",OFF,MODE_10W_DESKTOP,16,19,17,78,OFF,OFF,0,0,0,824492,824492,457,150,OFF,OFF,OFF,0.0,44.5,44.0,46.0,45.0,44.55,4647,4362
